Author_Name,University/Organization,Paper_title,Keywords,Year,Conference
Murali S Kodialam,Bell Laboratories,Characterizing Achievable Rates in Multi-Hop Wireless Networks: Joint Routing and Scheduling Problem,"routing, optimization, wireless networks, scheduling, graph coloring",2003,mobicom
Thyagarajan  Nandagopal,Bell Laboratories,Characterizing Achievable Rates in Multi-Hop Wireless Networks: Joint Routing and Scheduling Problem,"routing, optimization, wireless networks, scheduling, graph coloring",2003,mobicom
Ulaş C Kozat,University of Maryland College Park,Throughput Capacity of Random Ad Hoc Networks with Infrastructure Support,"random ad hoc networks, transport capacity, hybrid wireless networks",2003,mobicom
Leandros  Tassiulas,University of Maryland College Park,Throughput Capacity of Random Ad Hoc Networks with Infrastructure Support,"random ad hoc networks, transport capacity, hybrid wireless networks",2003,mobicom
Kamal  Jain,Microsoft Research,Impact of Interference on Multi-Hop Wireless Network Performance,"wireless, performance, multi-hop, interference",2003,mobicom
Jitendra Dattatraya Padhye,Microsoft Research,Impact of Interference on Multi-Hop Wireless Network Performance,"wireless, performance, multi-hop, interference",2003,mobicom
Venkata Narayana Padmanabhan,Microsoft Research,Impact of Interference on Multi-Hop Wireless Network Performance,"wireless, performance, multi-hop, interference",2003,mobicom
Lili  Qiu,Microsoft Research,Impact of Interference on Multi-Hop Wireless Network Performance,"wireless, performance, multi-hop, interference",2003,mobicom
Tian  He,University of Virginia,Range-Free Localization Schemes for Large Scale Sensor Networks,"location discovery, localization, positioning, sensor networks",2003,mobicom
Chengdu  Huang,University of Virginia,Range-Free Localization Schemes for Large Scale Sensor Networks,"location discovery, localization, positioning, sensor networks",2003,mobicom
Brian M Blum,University of Virginia,Range-Free Localization Schemes for Large Scale Sensor Networks,"location discovery, localization, positioning, sensor networks",2003,mobicom
John Anthony Stankovic,University of Virginia,Range-Free Localization Schemes for Large Scale Sensor Networks,"location discovery, localization, positioning, sensor networks",2003,mobicom
Tarek F Abdelzaher,University of Virginia,Range-Free Localization Schemes for Large Scale Sensor Networks,"location discovery, localization, positioning, sensor networks",2003,mobicom
Ananth  Rao,University of California Berkeley,Geographic Routing without Location Information,"ad-hoc, routing, coordinate-based, sensornets, geographoc",2003,mobicom
Sylvia Paul Ratnasamy,University of California Berkeley,Geographic Routing without Location Information,"ad-hoc, routing, coordinate-based, sensornets, geographoc",2003,mobicom
"Christos, Harilaos Papadimitriou",University of California Berkeley,Geographic Routing without Location Information,"ad-hoc, routing, coordinate-based, sensornets, geographoc",2003,mobicom
Scott J. Shenker,University of California Berkeley,Geographic Routing without Location Information,"ad-hoc, routing, coordinate-based, sensornets, geographoc",2003,mobicom
I. Stoica,University of California Berkeley,Geographic Routing without Location Information,"ad-hoc, routing, coordinate-based, sensornets, geographoc",2003,mobicom
Yigal  Bejerano,Bell Labs,Efficient Location Area Planning for Personal Communication Systems,"location area planning, cellular systems, mobility management, personal communication system, approximation algorithms",2003,mobicom
Nicole  Immorlica,Massachusetts Institute of Technology,Efficient Location Area Planning for Personal Communication Systems,"location area planning, cellular systems, mobility management, personal communication system, approximation algorithms",2003,mobicom
Joseph (Seffi) Naor,Technion - Israel Institute of Technology,Efficient Location Area Planning for Personal Communication Systems,"location area planning, cellular systems, mobility management, personal communication system, approximation algorithms",2003,mobicom
Mark Anthony Shawn Smith,Bell Labs,Efficient Location Area Planning for Personal Communication Systems,"location area planning, cellular systems, mobility management, personal communication system, approximation algorithms",2003,mobicom
Anand Vijay Srinivas,Massachusetts Institute of Technology,Minimum Energy Disjoint Path Routing in Wireless Ad-Hoc Networks,"multipath routing, minimum energy, disjoint paths, energy efficiency, distributed algorithms, wireless ad-hoc networks",2003,mobicom
Eytan Hillel Modiano,Massachusetts Institute of Technology,Minimum Energy Disjoint Path Routing in Wireless Ad-Hoc Networks,"multipath routing, minimum energy, disjoint paths, energy efficiency, distributed algorithms, wireless ad-hoc networks",2003,mobicom
Douglas S J De Couto,Massachusetts Institute of Technology,A High-Throughput Path Metric for Multi-Hop Wireless Routing,"rooftop networks, DSDV, ad hoc networks, wireless routing, ETX, 802.11b, route metrics, multi-hop wireless networks, DSR",2003,mobicom
Daniel  Aguayo,Massachusetts Institute of Technology,A High-Throughput Path Metric for Multi-Hop Wireless Routing,"rooftop networks, DSDV, ad hoc networks, wireless routing, ETX, 802.11b, route metrics, multi-hop wireless networks, DSR",2003,mobicom
John C Bicket,Massachusetts Institute of Technology,A High-Throughput Path Metric for Multi-Hop Wireless Routing,"rooftop networks, DSDV, ad hoc networks, wireless routing, ETX, 802.11b, route metrics, multi-hop wireless networks, DSR",2003,mobicom
Robert Tappan Morris,Massachusetts Institute of Technology,A High-Throughput Path Metric for Multi-Hop Wireless Routing,"rooftop networks, DSDV, ad hoc networks, wireless routing, ETX, 802.11b, route metrics, multi-hop wireless networks, DSR",2003,mobicom
Nianjun  Zhou,Rensselaer Polytechnic Institute,Reactive Routing Overhead in Networks with Unreliable Nodes,"sensor networks, reliability, reactive routing, DSR, ad hoc networks, AODV, routing overhead",2003,mobicom
Huaming  Wu,Rensselaer Polytechnic Institute,Reactive Routing Overhead in Networks with Unreliable Nodes,"sensor networks, reliability, reactive routing, DSR, ad hoc networks, AODV, routing overhead",2003,mobicom
Alhussein A Abouzeid,Rensselaer Polytechnic Institute,Reactive Routing Overhead in Networks with Unreliable Nodes,"sensor networks, reliability, reactive routing, DSR, ad hoc networks, AODV, routing overhead",2003,mobicom
Daji  Qiao,University of Michigan Ann Arbor,MiSer: An Optimal Low-Energy Transmission Strategy for IEEE 802.11a/h,"IEEE 802.11a/h, TPC, MiSer, PHY rate adaptation",2003,mobicom
Sunghyun  Choi,Seoul National University,MiSer: An Optimal Low-Energy Transmission Strategy for IEEE 802.11a/h,"IEEE 802.11a/h, TPC, MiSer, PHY rate adaptation",2003,mobicom
Amit  Jain,University of Michigan Ann Arbor,MiSer: An Optimal Low-Energy Transmission Strategy for IEEE 802.11a/h,"IEEE 802.11a/h, TPC, MiSer, PHY rate adaptation",2003,mobicom
Kang  Shin,University of Michigan Ann Arbor,MiSer: An Optimal Low-Energy Transmission Strategy for IEEE 802.11a/h,"IEEE 802.11a/h, TPC, MiSer, PHY rate adaptation",2003,mobicom
Dr. Manish Anand,University of Michigan Ann Arbor,Self-Tuning Wireless Network Power Management,"power management, self-tuning, 802.11",2003,mobicom
Edmund B Nightingale,University of Michigan Ann Arbor,Self-Tuning Wireless Network Power Management,"power management, self-tuning, 802.11",2003,mobicom
Jason Nelson Flinn,University of Michigan Ann Arbor,Self-Tuning Wireless Network Power Management,"power management, self-tuning, 802.11",2003,mobicom
Hwangnam  Kim,Korea University,Improving Protocol Capacity with Model-Based Frame Scheduling in IEEE 802.11-Operated WLANs,"wireless LANs (WLANs), protocol enhancement, performance analysis, IEEE 802.11",2003,mobicom
Jennifer  Hou,University of Illinois Urbana Champaign,Improving Protocol Capacity with Model-Based Frame Scheduling in IEEE 802.11-Operated WLANs,"wireless LANs (WLANs), protocol enhancement, performance analysis, IEEE 802.11",2003,mobicom
Jungkeun  Yoon,University of Michigan Ann Arbor,Sound Mobility Models,"renewal process, stationary distribution, mobility model",2003,mobicom
Mingyan  Liu,University of Michigan Ann Arbor,Sound Mobility Models,"renewal process, stationary distribution, mobility model",2003,mobicom
Brian David Noble,University of Michigan Ann Arbor,Sound Mobility Models,"renewal process, stationary distribution, mobility model",2003,mobicom
Amit Pulin Jardosh,University of California at Santa Barbara,Towards Realistic Mobility Models for Mobile Ad Hoc Networks,"mobility models, simulations, ad hoc networks",2003,mobicom
Elizabeth M Belding-Royer,University of California at Santa Barbara,Towards Realistic Mobility Models for Mobile Ad Hoc Networks,"mobility models, simulations, ad hoc networks",2003,mobicom
Kevin Christopher Almeroth,University of California at Santa Barbara,Towards Realistic Mobility Models for Mobile Ad Hoc Networks,"mobility models, simulations, ad hoc networks",2003,mobicom
Subhash Suri,University of California at Santa Barbara,Towards Realistic Mobility Models for Mobile Ad Hoc Networks,"mobility models, simulations, ad hoc networks",2003,mobicom
Petros  Zerfos,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Gary  Zhong,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Jerry  Cheng,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Haiyun  Luo,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Songwu  Lu,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Jefferey Jia Ru Li,University of California Los Angeles,DIRAC: A Software-Based Wireless Router System,"distributed router architecture, wireless network",2003,mobicom
Luzi  Anderegg,Institute of Theoretical Computer Science,Ad Hoc-VCG: A Truthful and Cost-Efficient Routing Protocol for Mobile Ad Hoc Networks with Selfish Agents,"ad hoc networks, mechanism design, VCG mechanism, game theory, routing, energy efficiency, selfish agents",2003,mobicom
Stephan J Eidenbenz,Los Alamos National Laboratory,Ad Hoc-VCG: A Truthful and Cost-Efficient Routing Protocol for Mobile Ad Hoc Networks with Selfish Agents,"ad hoc networks, mechanism design, VCG mechanism, game theory, routing, energy efficiency, selfish agents",2003,mobicom
Dragoş Stefan Niculescu,Rutgers University,Trajectory Based Forwarding and Its Applications,"multipath, positioning, routing, ad hoc networks, trajectory based forwarding, broadcasting",2003,mobicom
Badri  Nath,Rutgers University,Trajectory Based Forwarding and Its Applications,"multipath, positioning, routing, ad hoc networks, trajectory based forwarding, broadcasting",2003,mobicom
Casey  Carter,University of Illinois Urbana Champaign,Manycast: Exploring the Space between Anycast and Multicast in Ad Hoc Networks,"ad hoc routing, manycast, service location",2003,mobicom
Seung Yi,University of Illinois Urbana Champaign,Manycast: Exploring the Space between Anycast and Multicast in Ad Hoc Networks,"ad hoc routing, manycast, service location",2003,mobicom
Prashant  Ratanchandani,University of Illinois Urbana Champaign,Manycast: Exploring the Space between Anycast and Multicast in Ad Hoc Networks,"ad hoc routing, manycast, service location",2003,mobicom
Robin Hillary Kravets,University of Illinois Urbana Champaign,Manycast: Exploring the Space between Anycast and Multicast in Ad Hoc Networks,"ad hoc routing, manycast, service location",2003,mobicom
Jianping  Pan,University of Waterloo,Topology Control for Wireless Sensor Networks,"topology control, network lifetime, wireless sensor networks",2003,mobicom
Yiweithomas  Hou,Virginia Tech,Topology Control for Wireless Sensor Networks,"topology control, network lifetime, wireless sensor networks",2003,mobicom
Lin  Cai,University of Waterloo,Topology Control for Wireless Sensor Networks,"topology control, network lifetime, wireless sensor networks",2003,mobicom
Yi  Shi,Virginia Tech,Topology Control for Wireless Sensor Networks,"topology control, network lifetime, wireless sensor networks",2003,mobicom
Sherman  Shen,University of Waterloo,Topology Control for Wireless Sensor Networks,"topology control, network lifetime, wireless sensor networks",2003,mobicom
Mohammad Taghi Hajiaghayi,Massachusetts Institute of Technology,Power Optimization in Fault-Tolerant Topology Control Algorithms for Wireless Multi-Hop Networks,"graph model, approximation algorithm, power conservation, graph property, ad hoc network, topology control",2003,mobicom
Nicole  Immorlica,Massachusetts Institute of Technology,Power Optimization in Fault-Tolerant Topology Control Algorithms for Wireless Multi-Hop Networks,"graph model, approximation algorithm, power conservation, graph property, ad hoc network, topology control",2003,mobicom
Vahab Seyed Mirrokni,Massachusetts Institute of Technology,Power Optimization in Fault-Tolerant Topology Control Algorithms for Wireless Multi-Hop Networks,"graph model, approximation algorithm, power conservation, graph property, ad hoc network, topology control",2003,mobicom
Qun  Li,Dartmouth College,Distributed Algorithms for Guiding Navigation across a Sensor Network,"potential field, robotics, sensor networks, motes, navigation",2003,mobicom
Michael A De Rosa,Dartmouth College,Distributed Algorithms for Guiding Navigation across a Sensor Network,"potential field, robotics, sensor networks, motes, navigation",2003,mobicom
Daniela L Rus,Dartmouth College,Distributed Algorithms for Guiding Navigation across a Sensor Network,"potential field, robotics, sensor networks, motes, navigation",2003,mobicom
Haitao  Lin,University of Texas at Arlington,ARC: An Integrated Admission and Rate Control Framework for CDMA Data Networks Based on Non-Cooperative Games,"non-cooperative games, rate control, CDMA systems, admission control, wireless data networks",2003,mobicom
Mainak  Chatterjee,University of Central Florida,ARC: An Integrated Admission and Rate Control Framework for CDMA Data Networks Based on Non-Cooperative Games,"non-cooperative games, rate control, CDMA systems, admission control, wireless data networks",2003,mobicom
Sajal K Das,University of Texas at Arlington,ARC: An Integrated Admission and Rate Control Framework for CDMA Data Networks Based on Non-Cooperative Games,"non-cooperative games, rate control, CDMA systems, admission control, wireless data networks",2003,mobicom
Kalyan  Basu,University of Texas at Arlington,ARC: An Integrated Admission and Rate Control Framework for CDMA Data Networks Based on Non-Cooperative Games,"non-cooperative games, rate control, CDMA systems, admission control, wireless data networks",2003,mobicom
Thomas  Bonald,France Telecom R&D,Wireless Downlink Data Channels: User Performance and Cell Dimensioning,"dimensioning, flow-level analysis, CDMA/HDR systems",2003,mobicom
Alexandre  Proutiére,France Telecom R&D,Wireless Downlink Data Channels: User Performance and Cell Dimensioning,"dimensioning, flow-level analysis, CDMA/HDR systems",2003,mobicom
Haiyun  Luo,University of California Los Angeles,UCAN: A Unified Cellular and Ad-Hoc Network Architecture,"3G wireless networks, mobile ad-hoc networks, unified architecture",2003,mobicom
Ramachandran  Ramjee,Lucent Technologies,UCAN: A Unified Cellular and Ad-Hoc Network Architecture,"3G wireless networks, mobile ad-hoc networks, unified architecture",2003,mobicom
Prasun  Sinha,Ohio State University,UCAN: A Unified Cellular and Ad-Hoc Network Architecture,"3G wireless networks, mobile ad-hoc networks, unified architecture",2003,mobicom
(Erran)li  Li,Lucent Technologies,UCAN: A Unified Cellular and Ad-Hoc Network Architecture,"3G wireless networks, mobile ad-hoc networks, unified architecture",2003,mobicom
Songwu  Lu,University of California Los Angeles,UCAN: A Unified Cellular and Ad-Hoc Network Architecture,"3G wireless networks, mobile ad-hoc networks, unified architecture",2003,mobicom
Gilles  Grapinet,ATOS & Chief Executive Officer Worldline,Agility and Fragility in a Real-Time World,"regulation, privacy, security models, trust models, internet of things, mobile networks",2015,mobicom
Lixin  Shi,Massachusetts Institute of Technology,Wireless Power Hotspot That Charges All of Your Devices,"magnetic resonance, wireless power transfer, MIMO, energy, beamforming, mobile and wearable devices",2015,mobicom
Zachary  Kabelac,Massachusetts Institute of Technology,Wireless Power Hotspot That Charges All of Your Devices,"magnetic resonance, wireless power transfer, MIMO, energy, beamforming, mobile and wearable devices",2015,mobicom
Dina Katabi,Massachusetts Institute of Technology,Wireless Power Hotspot That Charges All of Your Devices,"magnetic resonance, wireless power transfer, MIMO, energy, beamforming, mobile and wearable devices",2015,mobicom
David J Perreault,Massachusetts Institute of Technology,Wireless Power Hotspot That Charges All of Your Devices,"magnetic resonance, wireless power transfer, MIMO, energy, beamforming, mobile and wearable devices",2015,mobicom
Duc Hoang Bui,Korea Advanced Institute of Science and Technology,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,"mobile web browser, smartphones, energy efficiency, web page loading",2015,mobicom
Yunxin  Liu,Microsoft Research,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,"mobile web browser, smartphones, energy efficiency, web page loading",2015,mobicom
Hyosu  Kim,Korea Advanced Institute of Science and Technology,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,"mobile web browser, smartphones, energy efficiency, web page loading",2015,mobicom
Insik  Shin,Korea Advanced Institute of Science and Technology,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,"mobile web browser, smartphones, energy efficiency, web page loading",2015,mobicom
Feng  Zhao,Microsoft Research,Rethinking Energy-Performance Trade-Off in Mobile Web Page Loading,"mobile web browser, smartphones, energy efficiency, web page loading",2015,mobicom
Songtao  He,University of Science and Technology of China,Optimizing Smartphone Power Consumption through Dynamic Resolution Scaling,"display resolution, dynamic resolution scaling, power consumption, GPU, smartphone",2015,mobicom
Yunxin  Liu,Microsoft Research,Optimizing Smartphone Power Consumption through Dynamic Resolution Scaling,"display resolution, dynamic resolution scaling, power consumption, GPU, smartphone",2015,mobicom
Hucheng  Zhou,Microsoft Research,Optimizing Smartphone Power Consumption through Dynamic Resolution Scaling,"display resolution, dynamic resolution scaling, power consumption, GPU, smartphone",2015,mobicom
Xiaomeng  Chen,Purdue University,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Abhilash  Jindal,Purdue University,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Ning Ding,Purdue University,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Ying  Hu,Purdue University,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Maruti  Gupta,Intel Corporation,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Rath  Vannithamby,Intel Corporation,"Smartphone Background Activities in the Wild: Origin, Energy Drain, and Optimization","smartphones, screen-off energy drain, background activities",2015,mobicom
Yaxiong Xie,Nanyang Technological University,Precise Power Delay Profiling with Commodity WiFi,"wireless, channel combination, localization, phase, bandwidth, resolution, channel state information (CSI), power delay profile",2015,mobicom
Zhenjiang  Li,Nanyang Technological University,Precise Power Delay Profiling with Commodity WiFi,"wireless, channel combination, localization, phase, bandwidth, resolution, channel state information (CSI), power delay profile",2015,mobicom
Mo  Li,Nanyang Technological University,Precise Power Delay Profiling with Commodity WiFi,"wireless, channel combination, localization, phase, bandwidth, resolution, channel state information (CSI), power delay profile",2015,mobicom
Wei Wang,Nanjing University,Understanding and Modeling of WiFi Signal Based Human Activity Recognition,"activity recognition, channel state information (CSI), wifi",2015,mobicom
Alex  Liu,Michigan State University & Nanjing University,Understanding and Modeling of WiFi Signal Based Human Activity Recognition,"activity recognition, channel state information (CSI), wifi",2015,mobicom
Muhammad  Shahzad,Michigan State University,Understanding and Modeling of WiFi Signal Based Human Activity Recognition,"activity recognition, channel state information (CSI), wifi",2015,mobicom
Kang  Ling,Nanjing University,Understanding and Modeling of WiFi Signal Based Human Activity Recognition,"activity recognition, channel state information (CSI), wifi",2015,mobicom
Sanglu  Lu,Nanjing University,Understanding and Modeling of WiFi Signal Based Human Activity Recognition,"activity recognition, channel state information (CSI), wifi",2015,mobicom
Li  Sun,University at Buffalo,WiDraw: Enabling Hands-Free Drawing in the Air on Commodity WiFi Devices,"wireless, angle-of-arrival, channel state information, motion tracking, gesture recognition",2015,mobicom
Souvik  Sen,HP Labs,WiDraw: Enabling Hands-Free Drawing in the Air on Commodity WiFi Devices,"wireless, angle-of-arrival, channel state information, motion tracking, gesture recognition",2015,mobicom
Dimitrios  Koutsonikolas,University at Buffalo,WiDraw: Enabling Hands-Free Drawing in the Air on Commodity WiFi Devices,"wireless, angle-of-arrival, channel state information, motion tracking, gesture recognition",2015,mobicom
Kyuhan  Kim,HP Labs,WiDraw: Enabling Hands-Free Drawing in the Air on Commodity WiFi Devices,"wireless, angle-of-arrival, channel state information, motion tracking, gesture recognition",2015,mobicom
Kamran  Ali,Department of Computer Science and Engineering,Keystroke Recognition Using WiFi Signals,"keystroke recovery, wireless security, channel state information, cots wifi devices, gesture recognition",2015,mobicom
Alex  Liu,Department of Computer Science and Engineering,Keystroke Recognition Using WiFi Signals,"keystroke recovery, wireless security, channel state information, cots wifi devices, gesture recognition",2015,mobicom
Wei Wang,State Key Laboratory for Novel Software Technology,Keystroke Recognition Using WiFi Signals,"keystroke recovery, wireless security, channel state information, cots wifi devices, gesture recognition",2015,mobicom
Muhammad  Shahzad,Department of Computer Science and Engineering,Keystroke Recognition Using WiFi Signals,"keystroke recovery, wireless security, channel state information, cots wifi devices, gesture recognition",2015,mobicom
Yanzi  Zhu,University of California Santa Barbara,Reusing 60GHz Radios for Mobile Radar Imaging,"60GHz, RF imaging, mobile radar, environmental mapping",2015,mobicom
Yibo  Zhu,University of California Santa Barbara,Reusing 60GHz Radios for Mobile Radar Imaging,"60GHz, RF imaging, mobile radar, environmental mapping",2015,mobicom
Ben  Zhao,University of California Santa Barbara,Reusing 60GHz Radios for Mobile Radar Imaging,"60GHz, RF imaging, mobile radar, environmental mapping",2015,mobicom
Haitao Zheng,University of California Santa Barbara,Reusing 60GHz Radios for Mobile Radar Imaging,"60GHz, RF imaging, mobile radar, environmental mapping",2015,mobicom
Teng  Wei,University of Wisconsin Madison,MTrack: High-Precision Passive Tracking Using Millimeter Wave Radios,"tracking, millimeter-wave, phase shift, 60 GHz",2015,mobicom
Xinyu  Zhang,University of Wisconsin Madison,MTrack: High-Precision Passive Tracking Using Millimeter Wave Radios,"tracking, millimeter-wave, phase shift, 60 GHz",2015,mobicom
Teng  Wei,University of Wisconsin Madison,Acoustic Eavesdropping through Wireless Vibrometry,"acoustic-radio transformation, acoustic eavesdropping, wifi devices",2015,mobicom
Shu  Wang,University of Wisconsin Madison,Acoustic Eavesdropping through Wireless Vibrometry,"acoustic-radio transformation, acoustic eavesdropping, wifi devices",2015,mobicom
Anfu  Zhou,ICT,Acoustic Eavesdropping through Wireless Vibrometry,"acoustic-radio transformation, acoustic eavesdropping, wifi devices",2015,mobicom
Xinyu  Zhang,University of Wisconsin Madison,Acoustic Eavesdropping through Wireless Vibrometry,"acoustic-radio transformation, acoustic eavesdropping, wifi devices",2015,mobicom
Jian  Liu,Stevens Institute of Technology,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
Yan  Wang,Stevens Institute of Technology,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
Gorkem  Kar,Rutgers University,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
Yingying  Chen,Stevens Institute of Technology,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
Jie Yang,Florida State University,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
Marco  Gruteser,Rutgers University,Snooping Keystrokes with Mm-Level Audio Ranging on a Single Phone,"keystroke snooping, single phone, time difference of arrival (TDoA), audio ranging",2015,mobicom
He  Wang,University of Illinois Urbana Champaign,MoLe: Motion Leaks through Smartwatch Sensors,"smartwatch, Bayesian inference, security, gyroscope, side-channel attacks, malware, accelerometer, motion leaks, gesture",2015,mobicom
Ted Tsung Te Lai,University of Illinois Urbana Champaign,MoLe: Motion Leaks through Smartwatch Sensors,"smartwatch, Bayesian inference, security, gyroscope, side-channel attacks, malware, accelerometer, motion leaks, gesture",2015,mobicom
Romit Roy Roy Choudhury,University of Illinois Urbana Champaign,MoLe: Motion Leaks through Smartwatch Sensors,"smartwatch, Bayesian inference, security, gyroscope, side-channel attacks, malware, accelerometer, motion leaks, gesture",2015,mobicom
Pedro Miguel Santos,Instituto de Telecomunicações / Universidade do Porto,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Tânia  Calçada,Instituto de Telecomunicações / Universidade do Porto,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Diogo  Guimarães,Universidade do Porto,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Tiago  Condeixa,VENIAM,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Susana  Sargento,Instituto de Telecomunicações / Universidade de Aveiro,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Ana C Aguiar,Instituto de Telecomunicações / Universidade do Porto,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Jo�o Barros,Instituto de Telecomunicações / Universidade do Porto / VENIAM,Demo: Platform for Collecting Data From Urban Sensors Using Vehicular Networking,"urban sensors, vehicular network, delay-tolerant",2015,mobicom
Anastasia  Shuba,CalIT2 & UC Irvine,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
Anh  Le,CalIT2 & UC Irvine,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
Minas  Gjoka,CalIT2 & UC Irvine,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
Janus  Varmarken,IT University of Copenhagen,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
Simon  Langhoff,IT University of Copenhagen,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
Athina P Markopoulou,CalIT2 & UC Irvine,Demo: AntMonitor: A System for Mobile Traffic Monitoring and Real-Time Prevention of Privacy Leaks,"privacy leakage detection, mobile network monitoring, android security",2015,mobicom
